job_title,salary_in_usd,company_size
1,5409,2
2,45896,1
2,12000,1
2,12000,2
2,18053,1
2,55000,3
2,120000,2
2,200000,3
3,175000,2
3,135000,2
3,205300,2
3,184700,2
4,54238,3
4,110037,3
4,157000,3
4,380000,3
4,177000,3
5,38400,2
5,423000,3
5,31875,2
5,75000,3
6,98000,2
6,150000,3
6,100000,2
6,36259,3
6,55000,1
6,9272,1
7,99703,2
8,109024,2
8,114047,1
8,70000,3
8,60000,2
8,22611,3
8,18000,1
8,5882,3
8,16228,3
9,135000,3
9,100000,3
9,59102,3
9,18442,2
9,70912,3
10,89294,3
10,160000,1
11,60000,1
11,24000,2
11,28609,1
11,18907,2
11,125000,2
11,10000,2
12,70000,2
12,95746,1
12,150000,1
13,72000,3
13,85000,3
13,8000,3
13,46759,3
13,10000,1
13,6072,1
13,91000,3
13,80000,2
13,59102,2
13,80000,1
13,75000,3
13,62000,3
13,51519,3
13,90000,1
13,50000,2
13,10354,2
13,90000,2
13,135000,3
13,60000,1
13,71786,2
13,200000,3
13,80000,3
13,93000,3
13,63831,3
13,155000,2
13,120600,2
13,102100,2
13,84900,2
13,99000,2
13,116000,2
13,106260,2
13,126500,2
13,90320,2
13,124190,2
13,130000,2
13,110000,2
13,170000,2
13,115500,2
13,112900,2
13,90320,2
13,112900,2
13,90320,2
13,167000,2
13,136600,2
13,109280,2
13,135000,2
13,130000,2
13,61300,2
13,130000,2
13,61300,2
13,58000,1
13,132000,2
13,128875,2
13,93700,2
13,164000,2
13,112900,2
13,90320,2
13,115934,2
13,81666,2
13,58000,1
13,52351,2
13,39263,2
13,43966,2
13,32974,2
13,43966,2
13,32974,2
13,135000,2
13,50000,2
13,20000,1
13,135000,2
13,100000,2
13,90320,2
13,85000,2
13,75000,2
13,112900,2
13,115934,2
13,81666,2
13,99050,2
13,116150,2
13,170000,2
13,65438,2
13,80000,2
13,100000,2
13,69000,2
13,150075,2
13,126500,2
13,106260,2
13,105000,2
13,110925,2
13,45807,2
13,99000,2
13,60000,2
13,170000,2
13,67000,2
13,52000,2
13,129000,2
13,150000,2
14,79197,3
14,110000,3
14,50000,2
14,20000,2
15,405000,3
16,120000,2
16,120000,3
16,140000,3
16,145000,2
16,105400,2
16,150260,2
16,109280,2
17,150000,3
17,170000,3
17,180000,3
17,192400,2
17,90700,2
17,208775,2
17,147800,2
17,266400,2
17,213120,2
17,192564,2
17,144854,2
18,41689,1
18,47899,3
18,33511,1
18,74130,3
18,106000,3
18,112872,3
18,188000,3
18,70139,3
18,54742,3
18,110000,3
18,130800,2
18,140000,3
18,28476,3
18,150000,3
18,115000,1
18,150000,2
18,30428,3
18,45391,3
18,200000,3
18,100000,3
18,90000,3
18,28369,3
18,80000,3
18,82528,3
18,26005,3
18,4000,2
18,76833,1
18,165000,2
18,20000,3
18,66022,1
18,21637,2
18,110000,3
18,72212,3
18,12103,2
18,96282,3
18,200000,3
18,93150,2
18,111775,2
18,28016,2
18,65013,2
18,72500,3
18,112000,3
18,69741,3
18,135000,2
18,170000,2
18,150000,2
18,52351,2
18,242000,2
18,200000,2
18,78526,2
18,52351,2
18,45807,2
18,181940,2
18,132320,2
18,220110,2
18,160080,2
18,165400,2
18,132320,2
18,243900,2
18,128875,2
18,93700,2
18,156600,2
18,108800,2
18,113000,3
18,78526,2
18,65438,2
18,160000,3
18,136000,2
18,165400,2
18,136994,2
18,101570,2
18,132320,2
18,155000,2
18,117789,2
18,209100,3
18,154600,3
18,175000,2
18,98158,2
18,183600,3
18,65949,2
18,49461,2
18,78526,2
18,58894,2
18,63900,2
18,82900,2
18,100800,3
18,49461,2
18,87932,2
18,76940,2
18,104702,2
18,91614,2
18,65949,2
18,87932,2
18,98158,2
18,78526,2
18,76940,2
18,209100,3
18,154600,3
18,180000,2
18,80000,2
18,105000,2
18,54957,3
18,120000,2
18,100000,2
18,324000,2
18,216000,2
18,210000,2
18,58035,2
18,115000,2
18,65000,1
18,68147,2
18,155000,2
18,206699,2
18,99100,2
18,130000,2
18,115000,2
18,110500,2
18,130000,2
18,160000,2
18,200100,2
18,160000,2
18,145000,2
18,70500,2
18,175100,2
18,140250,2
18,54000,2
18,100000,2
18,25000,2
18,220110,2
18,160080,2
18,154000,2
18,126000,2
19,59303,1
19,79833,3
19,150000,3
19,153000,3
19,174000,3
20,5707,2
20,103000,3
20,76833,1
20,63831,3
20,69741,1
20,90000,1
20,76833,3
21,40189,2
21,127221,3
21,60000,3
22,190200,2
22,240000,3
22,144000,3
22,152000,3
22,174000,3
22,54094,3
22,94665,3
22,161342,2
22,137141,2
22,241000,2
22,159000,2
22,152500,2
23,79833,3
23,35735,3
23,51321,1
23,40481,3
23,39916,2
23,68428,3
23,45760,1
23,76958,1
23,105000,3
23,38776,2
23,118000,2
23,120000,3
23,138350,2
23,21669,1
23,412000,3
23,62726,1
23,49268,1
23,105000,1
23,91237,1
23,62726,1
23,42197,1
23,53192,3
23,29751,3
23,73000,3
23,50000,3
23,9466,1
23,49646,2
23,100000,1
23,80000,2
23,82500,1
23,150000,2
23,75774,3
23,13400,3
23,119059,2
23,2859,1
23,40038,3
23,5679,1
23,90734,3
23,147000,3
23,61467,2
23,37825,3
23,160000,3
23,12901,1
23,90734,3
23,116914,3
23,33808,2
23,56256,3
23,87738,1
23,88654,3
23,135000,3
23,46809,2
23,4000,2
23,103691,3
23,165000,3
23,36643,3
23,115000,3
23,90000,1
23,28399,2
23,130000,3
23,16904,1
23,25532,1
23,77684,2
23,100000,2
23,58000,3
23,20171,3
23,109000,3
23,130000,2
23,90000,2
23,136620,2
23,99360,2
23,117789,2
23,104702,2
23,146000,2
23,123000,2
23,65438,2
23,39263,2
23,165220,2
23,120160,2
23,180000,3
23,120000,3
23,95550,2
23,167000,2
23,123000,2
23,150000,2
23,211500,2
23,138600,2
23,170000,2
23,123000,2
23,215300,3
23,158200,3
23,180000,2
23,71982,2
23,45807,2
23,260000,2
23,180000,2
23,80000,2
23,140400,3
23,215300,3
23,31615,3
23,18442,2
23,104890,2
23,140000,2
23,220000,2
23,140000,2
23,183228,2
23,91614,2
23,185100,2
23,200000,2
23,120000,2
23,230000,2
23,100000,2
23,100000,2
23,35590,3
23,100000,2
23,165000,2
23,52396,3
23,40000,3
23,86703,2
23,48000,1
23,122346,3
23,69336,2
23,135000,3
23,78000,2
23,141300,2
23,102100,2
23,205300,3
23,140400,3
23,176000,2
23,144000,2
23,205300,2
23,140400,2
23,140000,2
23,210000,2
23,140000,2
23,210000,2
23,140000,2
23,210000,2
23,140000,2
23,230000,2
23,150000,2
23,210000,2
23,160000,2
23,130000,2
24,165000,3
25,113476,2
25,200000,3
26,325000,3
26,153667,3
26,168000,1
26,130026,2
26,250000,3
26,141846,3
26,196979,3
27,54957,2
27,54957,2
28,61896,3
29,450000,3
29,100000,3
30,235000,3
30,230000,3
30,102839,3
30,200000,2
30,32974,1
31,85000,2
31,110000,1
31,224000,2
31,167875,2
32,79039,3
33,87000,3
33,170000,3
33,19609,3
34,125000,1
34,56000,2
34,276000,3
34,103160,1
34,160000,1
34,118187,1
35,190000,1
35,115000,3
35,40570,3
36,87932,2
37,100000,1
37,78791,2
37,78791,2
38,150000,3
38,43331,2
38,250000,3
38,138000,1
38,45618,1
38,47282,1
38,94564,3
38,20000,1
38,82744,2
38,125000,1
38,81000,1
38,74000,1
38,21844,2
38,24342,3
38,200000,3
38,24823,3
38,24823,2
38,88654,2
38,46597,3
38,185000,3
38,66265,3
38,85000,1
38,51064,3
38,189650,2
38,164996,2
38,37300,3
38,124333,2
38,98158,2
38,87932,2
38,189650,2
38,164996,2
38,120000,1
38,220000,2
38,120000,1
38,65000,1
38,120000,2
38,62651,3
38,87425,3
38,71444,1
38,214000,2
38,192600,2
39,50180,2
39,195000,2
39,58255,3
40,117104,3
41,260000,1
41,225000,3
41,120000,1
41,12000,2
41,225000,3
41,160000,3
41,112300,3
41,153000,2
42,88654,3
43,15966,1
43,270000,3
43,63711,1
43,77364,1
43,256000,1
43,21983,3
44,37236,3
45,170000,2
45,75000,1
46,200000,2
46,185000,3
46,600000,3
47,148261,2
47,151000,3
47,220000,3
47,235000,3
47,416000,1
47,173762,2
47,162674,2
48,20000,1
48,6072,3
49,42000,3
49,450000,2
49,82528,3
49,187442,3
49,62649,2
49,60757,3
49,96113,3
49,50000,1
49,56738,1
49,63810,2
49,100000,3
49,69999,3
49,144000,3
49,93427,3
49,64849,3
49,120000,3
50,105000,2
