job_title,salary_in_usd,company_size
Data Scientist,79833,3
Machine Learning Scientist,260000,1
Big Data Engineer,109024,2
Product Data Analyst,20000,1
Machine Learning Engineer,150000,3
Data Analyst,72000,3
Lead Data Scientist,190000,1
Data Scientist,35735,3
Business Data Analyst,135000,3
Lead Data Engineer,125000,1
Data Scientist,51321,1
Data Scientist,40481,3
Data Scientist,39916,2
Lead Data Analyst,87000,3
Data Analyst,85000,3
Data Analyst,8000,3
Data Engineer,41689,1
Big Data Engineer,114047,1
Data Science Consultant,5707,2
Lead Data Engineer,56000,2
Machine Learning Engineer,43331,2
Product Data Analyst,6072,3
Data Engineer,47899,3
BI Data Analyst,98000,2
Lead Data Scientist,115000,3
Director of Data Science,325000,3
Research Scientist,42000,3
Data Engineer,33511,1
Business Data Analyst,100000,3
Machine Learning Manager,117104,3
Data Engineering Manager,59303,1
Big Data Engineer,70000,3
Data Scientist,68428,3
Research Scientist,450000,2
Data Analyst,46759,3
Data Engineer,74130,3
Data Science Consultant,103000,3
Machine Learning Engineer,250000,3
Data Analyst,10000,1
Machine Learning Engineer,138000,1
Data Scientist,45760,1
Data Engineering Manager,79833,3
Machine Learning Infrastructure Engineer,50180,2
Data Engineer,106000,3
Data Engineer,112872,3
ML Engineer,15966,1
Data Scientist,76958,1
Data Engineer,188000,3
Data Scientist,105000,3
Data Engineer,70139,3
Data Analyst,6072,1
Data Analyst,91000,3
AI Scientist,45896,1
Data Engineer,54742,3
Computer Vision Engineer,60000,1
Principal Data Scientist,148261,2
Data Scientist,38776,2
Data Scientist,118000,2
Data Scientist,120000,3
Data Scientist,138350,2
Data Engineer,110000,3
Data Engineer,130800,2
Data Scientist,21669,1
Data Scientist,412000,3
Machine Learning Engineer,45618,1
Data Scientist,62726,1
Data Scientist,49268,1
Data Science Manager,190200,2
Data Scientist,105000,1
Data Scientist,91237,1
Data Scientist,62726,1
Data Scientist,42197,1
Research Scientist,82528,3
BI Data Analyst,150000,3
Head of Data,235000,3
Data Scientist,53192,3
BI Data Analyst,100000,2
3D Computer Vision Researcher,5409,2
ML Engineer,270000,3
Data Analyst,80000,2
Data Analytics Engineer,79197,3
Data Engineer,140000,3
Applied Data Scientist,54238,3
Machine Learning Engineer,47282,1
Director of Data Science,153667,3
Data Engineer,28476,3
Data Analyst,59102,2
Data Analytics Engineer,110000,3
Lead Data Analyst,170000,3
Data Analyst,80000,1
Marketing Data Analyst,88654,3
Data Science Consultant,76833,1
Lead Data Analyst,19609,3
Lead Data Engineer,276000,3
Data Scientist,29751,3
Cloud Data Engineer,89294,3
AI Scientist,12000,1
Financial Data Analyst,450000,3
Computer Vision Software Engineer,70000,2
Computer Vision Software Engineer,95746,1
Data Analyst,75000,3
Data Engineer,150000,3
BI Data Analyst,36259,3
Data Analyst,62000,3
Data Scientist,73000,3
Data Analyst,51519,3
Research Scientist,187442,3
Data Engineer,115000,1
Data Engineer,150000,2
Data Engineer,30428,3
Machine Learning Engineer,94564,3
Director of Data Engineering,113476,2
Lead Data Engineer,103160,1
AI Scientist,12000,2
Data Engineer,45391,3
Machine Learning Scientist,225000,3
Data Scientist,50000,3
Data Science Engineer,40189,2
Data Analyst,90000,1
Data Engineer,200000,3
Big Data Engineer,60000,2
Principal Data Engineer,200000,2
Data Analyst,50000,2
Applied Data Scientist,110037,3
Data Analyst,10354,2
Principal Data Scientist,151000,3
Machine Learning Scientist,120000,1
Data Scientist,9466,1
Machine Learning Engineer,20000,1
Lead Data Scientist,40570,3
Machine Learning Developer,100000,1
Data Scientist,49646,2
Applied Machine Learning Scientist,38400,2
Computer Vision Engineer,24000,2
Data Scientist,100000,1
Data Analyst,90000,2
ML Engineer,63711,1
ML Engineer,77364,1
Principal Data Scientist,220000,3
Data Scientist,80000,2
Data Analyst,135000,3
Data Science Manager,240000,3
Data Engineering Manager,150000,3
Data Scientist,82500,1
Data Engineer,100000,3
Machine Learning Engineer,82744,2
Research Scientist,62649,2
Data Engineer,90000,3
Data Engineering Manager,153000,3
Cloud Data Engineer,160000,1
Director of Data Science,168000,1
Data Scientist,150000,2
Data Scientist,75774,3
Data Scientist,13400,3
Data Science Manager,144000,3
Data Science Engineer,127221,3
Data Scientist,119059,2
Applied Machine Learning Scientist,423000,3
Data Analytics Manager,120000,2
Machine Learning Engineer,125000,1
Head of Data,230000,3
Head of Data Science,85000,2
Data Engineer,28369,3
Data Science Consultant,63831,3
Director of Data Science,130026,2
Data Specialist,165000,3
Data Engineer,80000,3
Director of Data Science,250000,3
BI Data Analyst,55000,1
Data Architect,150000,3
Data Architect,170000,3
Data Engineer,82528,3
Data Analyst,60000,1
Principal Data Scientist,235000,3
Research Scientist,60757,3
Data Engineering Manager,174000,3
Data Scientist,2859,1
