job_title,salary_in_usd,company_size
1,5409,M
2,45896,S
2,12000,S
2,12000,M
2,18053,S
2,55000,L
2,120000,M
2,200000,L
3,175000,M
3,135000,M
3,205300,M
3,184700,M
4,54238,L
4,110037,L
4,157000,L
4,380000,L
4,177000,L
5,38400,M
5,423000,L
5,31875,M
5,75000,L
6,98000,M
6,150000,L
6,100000,M
6,36259,L
6,55000,S
6,9272,S
7,99703,M
8,109024,M
8,114047,S
8,70000,L
8,60000,M
8,22611,L
8,18000,S
8,5882,L
8,16228,L
9,135000,L
9,100000,L
9,59102,L
9,18442,M
9,70912,L
10,89294,L
10,160000,S
11,60000,S
11,24000,M
11,28609,S
11,18907,M
11,125000,M
11,10000,M
12,70000,M
12,95746,S
12,150000,S
13,72000,L
13,85000,L
13,8000,L
13,46759,L
13,10000,S
13,6072,S
13,91000,L
13,80000,M
13,59102,M
13,80000,S
13,75000,L
13,62000,L
13,51519,L
13,90000,S
13,50000,M
13,10354,M
13,90000,M
13,135000,L
13,60000,S
13,71786,M
13,200000,L
13,80000,L
13,93000,L
13,63831,L
13,155000,M
13,120600,M
13,102100,M
13,84900,M
13,99000,M
13,116000,M
13,106260,M
13,126500,M
13,90320,M
13,124190,M
13,130000,M
13,110000,M
13,170000,M
13,115500,M
13,112900,M
13,90320,M
13,112900,M
13,90320,M
13,167000,M
13,136600,M
13,109280,M
13,135000,M
13,130000,M
13,61300,M
13,130000,M
13,61300,M
13,58000,S
13,132000,M
13,128875,M
13,93700,M
13,164000,M
13,112900,M
13,90320,M
13,115934,M
13,81666,M
13,58000,S
13,52351,M
13,39263,M
13,43966,M
13,32974,M
13,43966,M
13,32974,M
13,135000,M
13,50000,M
13,20000,S
13,135000,M
13,100000,M
13,90320,M
13,85000,M
13,75000,M
13,112900,M
13,115934,M
13,81666,M
13,99050,M
13,116150,M
13,170000,M
13,65438,M
13,80000,M
13,100000,M
13,69000,M
13,150075,M
13,126500,M
13,106260,M
13,105000,M
13,110925,M
13,45807,M
13,99000,M
13,60000,M
13,170000,M
13,67000,M
13,52000,M
13,129000,M
13,150000,M
14,79197,L
14,110000,L
14,50000,M
14,20000,M
15,405000,L
16,120000,M
16,120000,L
16,140000,L
16,145000,M
16,105400,M
16,150260,M
16,109280,M
17,150000,L
17,170000,L
17,180000,L
17,192400,M
17,90700,M
17,208775,M
17,147800,M
17,266400,M
17,213120,M
17,192564,M
17,144854,M
18,41689,S
18,47899,L
18,33511,S
18,74130,L
18,106000,L
18,112872,L
18,188000,L
18,70139,L
18,54742,L
18,110000,L
18,130800,M
18,140000,L
18,28476,L
18,150000,L
18,115000,S
18,150000,M
18,30428,L
18,45391,L
18,200000,L
18,100000,L
18,90000,L
18,28369,L
18,80000,L
18,82528,L
18,26005,L
18,4000,M
18,76833,S
18,165000,M
18,20000,L
18,66022,S
18,21637,M
18,110000,L
18,72212,L
18,12103,M
18,96282,L
18,200000,L
18,93150,M
18,111775,M
18,28016,M
18,65013,M
18,72500,L
18,112000,L
18,69741,L
18,135000,M
18,170000,M
18,150000,M
18,52351,M
18,242000,M
18,200000,M
18,78526,M
18,52351,M
18,45807,M
18,181940,M
18,132320,M
18,220110,M
18,160080,M
18,165400,M
18,132320,M
18,243900,M
18,128875,M
18,93700,M
18,156600,M
18,108800,M
18,113000,L
18,78526,M
18,65438,M
18,160000,L
18,136000,M
18,165400,M
18,136994,M
18,101570,M
18,132320,M
18,155000,M
18,117789,M
18,209100,L
18,154600,L
18,175000,M
18,98158,M
18,183600,L
18,65949,M
18,49461,M
18,78526,M
18,58894,M
18,63900,M
18,82900,M
18,100800,L
18,49461,M
18,87932,M
18,76940,M
18,104702,M
18,91614,M
18,65949,M
18,87932,M
18,98158,M
18,78526,M
18,76940,M
18,209100,L
18,154600,L
18,180000,M
18,80000,M
18,105000,M
18,54957,L
18,120000,M
18,100000,M
18,324000,M
18,216000,M
18,210000,M
18,58035,M
18,115000,M
18,65000,S
18,68147,M
18,155000,M
18,206699,M
18,99100,M
18,130000,M
18,115000,M
18,110500,M
18,130000,M
18,160000,M
18,200100,M
18,160000,M
18,145000,M
18,70500,M
18,175100,M
18,140250,M
18,54000,M
18,100000,M
18,25000,M
18,220110,M
18,160080,M
18,154000,M
18,126000,M
19,59303,S
19,79833,L
19,150000,L
19,153000,L
19,174000,L
20,5707,M
20,103000,L
20,76833,S
20,63831,L
20,69741,S
20,90000,S
20,76833,L
21,40189,M
21,127221,L
21,60000,L
22,190200,M
22,240000,L
22,144000,L
22,152000,L
22,174000,L
22,54094,L
22,94665,L
22,161342,M
22,137141,M
22,241000,M
22,159000,M
22,152500,M
23,79833,L
23,35735,L
23,51321,S
23,40481,L
23,39916,M
23,68428,L
23,45760,S
23,76958,S
23,105000,L
23,38776,M
23,118000,M
23,120000,L
23,138350,M
23,21669,S
23,412000,L
23,62726,S
23,49268,S
23,105000,S
23,91237,S
23,62726,S
23,42197,S
23,53192,L
23,29751,L
23,73000,L
23,50000,L
23,9466,S
23,49646,M
23,100000,S
23,80000,M
